directories in the tree            : 407
directories carrying at least one file : 324
directories carrying none          : 83
files                              : 9641
bytes                              : 2925489709

  directory                                             files          bytes       share
  dlc/BaseResource/audio/bgm                              142      498033481    17.0239 %
  (root)                                                   37      323097210    11.0442 %
  nwjs-win-test                                            22      159930220     5.4668 %
  nwjs-lnx/lib                                              3      144119648     4.9263 %
  NewData/audio/bgm                                        36      134997046     4.6145 %
  nwjs-win                                                 16      121821312     4.1641 %
  dlc/BaseResource_Compressed/audio/bgm                   178      108936037     3.7237 %
  dlc/parallax_Resource_Pack/sample_project/audio/bgm      26       96221250     3.2891 %
  dlc/ExtraAssets/2000bgm                                  20       69094145     2.3618 %
  NewData/img/battlebacks1                                 50       62319880     2.1302 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project/img/animations    117       54597420     1.8663 %
  NewData/img/animations                                  117       54597420     1.8663 %
  dlc/BaseResource_Compressed/img/animations              118       52330735     1.7888 %
  tutorial-win                                             24       42711239     1.4600 %
  dlc/KadokawaPlugins_New/samples/Gacha Sample/audio/bgm     12       41779647     1.4281 %
  dlc/KadokawaPlugins_New/samples/Slot Machine Sample/audio/bgm     12       40241913     1.3756 %
  NewData/img/battlebacks2                                 50       39255867     1.3419 %
  nwjs-win/locales                                        106       35549194     1.2152 %
  nwjs-win-test/locales                                   106       35549194     1.2152 %
  nwjs-lnx/locales                                        106       34912287     1.1934 %
  nwjs-win-test/pnacl                                      21       34639882     1.1841 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project/audio/bgm     12       34495557     1.1791 %
  dlc/BaseResource_Compressed/img/battlebacks2             78       29609873     1.0121 %
  dlc/BaseResource/img/battlebacks1                        26       26858912     0.9181 %
  dlc/BaseResource_Compressed/img/battlebacks1             76       26120810     0.8929 %
  Help/inc/img                                            251       26003253     0.8889 %
  NewData/img/titles1                                      20       21221024     0.7254 %
  nwjs-lnx                                                 10       20554320     0.7026 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project/img/tilesets     72       20405034     0.6975 %
  dlc/BaseResource/img/battlebacks2                        28       19557014     0.6685 %
  dlc/parallax_Resource_Pack/sample_project/img/tilesets     62       17678502     0.6043 %
  NewData/img/tilesets                                     62       17674421     0.6042 %
  dlc/KadokawaPlugins_New/samples/Gacha Sample/img/tilesets     62       17610952     0.6020 %
  dlc/KadokawaPlugins_New/samples/Slot Machine Sample/img/tilesets     62       17610952     0.6020 %
  qtwebengine_locales                                      53       14282881     0.4882 %
  dlc/BaseResource/audio/se                               274       13064997     0.4466 %
  NewData/audio/me                                         36       12650203     0.4324 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project/img/battlebacks1     13       12426108     0.4248 %
  dlc/BaseResource_Compressed/audio/2000bgm                20       11699034     0.3999 %
  NewData/audio/bgs                                        20       11508264     0.3934 %
  dlc/parallax_Resource_Pack/sample_project/img/battlebacks1     12       11333259     0.3874 %
  NewData/audio/se                                        436       10944210     0.3741 %
  NewData/img/parallaxes                                   15       10568832     0.3613 %
  Help/inc/img/01_11_06                                    59       10159008     0.3473 %
  dlc/parallax_Resource_Pack/sample_project/img/battlebacks2     14        9677786     0.3308 %
  Help/inc/img/01_11_05                                    39        9618695     0.3288 %
  dlc/KadokawaPlugins_New/samples/Gacha Sample/img/battlebacks1     10        9018485     0.3083 %
  dlc/KadokawaPlugins_New/samples/Slot Machine Sample/img/battlebacks1     10        9018485     0.3083 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project/img/battlebacks2     13        8966133     0.3065 %
  dlc/BaseResource_Compressed/audio/se                    710        8664315     0.2962 %
  dlc/parallax_Resource_Pack/sample_project/audio/bgs      16        8468933     0.2895 %
  NewData/img/enemies                                      70        7820725     0.2673 %
  dlc/BaseResource_Compressed/audio/bgs                    58        7294407     0.2493 %
  NewData/img/sv_enemies                                   70        7262013     0.2482 %
  dlc/KadokawaPlugins_New/samples/Gacha Sample/img/battlebacks2     10        6992380     0.2390 %
  dlc/KadokawaPlugins_New/samples/Slot Machine Sample/img/battlebacks2     10        6992380     0.2390 %
  dlc/BaseResource/audio/bgs                               38        6551704     0.2240 %
  dlc/parallax_Resource_Pack/sample_project/img/titles1      6        6538989     0.2235 %
  dlc/BaseResource/img/enemies                             35        6534634     0.2234 %
  dlc/parallax_Resource_Pack/material/parallaxes           26        6124805     0.2094 %
  dlc/parallax_Resource_Pack/sample_project/img/parallaxes     25        6123597     0.2093 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtWidgets.framework/Versions/5      1        6105824     0.2087 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project/audio/se    270        5978105     0.2043 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project/audio/bgs      8        5787450     0.1978 %
  dlc/BaseResource/img/sv_enemies                          35        5781204     0.1976 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtCore.framework/Versions/5      1        5754304     0.1967 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtGui.framework/Versions/5      1        5239536     0.1791 %
  dlc/Special_Wallpaper                                     3        5048662     0.1726 %
  dlc/parallax_Resource_Pack/sample_project/audio/me       10        4646885     0.1588 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project/audio/me      8        4067896     0.1391 %
  dlc/Sangokushi/pictures                                  20        3978712     0.1360 %
  dlc/parallax_Resource_Pack/sample_project/audio/se      102        3830590     0.1309 %
  dlc/KadokawaPlugins_New/samples/Gacha Sample/img/animations     14        3806516     0.1301 %
  dlc/BaseResource/audio/me                                18        3756352     0.1284 %
  dlc/BaseResource_Compressed/audio/me                     54        3547961     0.1213 %
  NewData/img/faces                                        10        3437107     0.1175 %
  dlc/KadokawaPlugins_New/samples/Gacha Sample/audio/me      6        3289622     0.1124 %
  dlc/KadokawaPlugins_New/samples/Slot Machine Sample/audio/me      6        3289622     0.1124 %
  dlc/KadokawaPlugins_New/samples/Slot Machine Sample/img/animations      8        3123093     0.1068 %
  NewData/img/characters                                   29        3097067     0.1059 %
  nwjs-lnx/swiftshader                                      2        2893912     0.0989 %
