files                : 9641
bytes                : 2925489709
blocks above 7.5     : 35810 of 51926

ext       files          bytes       pct  blk>thr    mean H
.PNG       5578      733723600  25.0804 %    13521    7.9555
.OGG       1341      684463713  23.3966 %    11338    7.9579
.M4A       1341      473279531  16.1778 %     7440    7.9379
.DLL         92      335115552  11.4550 %       52    6.7814
.ZIP          1      205182933   7.0136 %     3129    7.9970
.SO           5      147013560   5.0253 %       23    6.3261
.PAK        222       89662863   3.0649 %      147    5.6307
.INFO       159       63826999   2.1818 %        0    5.3206
(none)       73       54206679   1.8529 %       15    6.0950
.EXE          9       43651584   1.4921 %      144    7.1014
.DAT          4       40494112   1.3842 %        0    6.1735
.JS         218       13147515   0.4494 %        0    4.9957
.HTML       147        7814014   0.2671 %        0    5.0083
.TTF          5        7708840   0.2635 %        0    6.8458
.NEXE         2        7211744   0.2465 %        0    5.9508
.QM          24        4873554   0.1666 %        0    5.0254
.BIN          6        4300802   0.1470 %        0    5.8339
.JSON       129        4286178   0.1465 %        0    3.8035
.DYLIB       13        3348192   0.1144 %        0    6.0610
.TXT        192         810693   0.0277 %        0    5.9109
.QMLTYPES     10         386156   0.0132 %        0    4.2830
.QML         40         356596   0.0122 %        0    4.7200
.NODE         1         353792   0.0121 %        0    6.7081
.RB           3         155214   0.0053 %        0    4.7509
.JPG          1          73307   0.0025 %        1    7.7568
.CSS          6          18332   0.0006 %        0    5.0589
.DOCX         1          16645   0.0006 %        0    7.4434
.PLIST        6           4301   0.0001 %        0    5.2395
.LOG          2           2405   0.0001 %        0    4.9769
.CONF         3            120   0.0000 %        0    4.3205
.DESKTOP      1             88   0.0000 %        0    4.8855
.VDF          1             51   0.0000 %        0    4.4412
.RPGPROJECT      4             44   0.0000 %        0    3.1412
.LPROJ        1              0   0.0000 %        0    0.0000
